https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1627434000000,2021-07-28 01:00:00,DOGE/USD,0.20377,0.20742,0.20221,0.20742,217209.13214582,45053.51818968599
1627430400000,2021-07-28 00:00:00,DOGE/USD,0.2059,0.20647,0.20271,0.20377,507318.29778929,103376.24954052363
1627426800000,2021-07-27 23:00:00,DOGE/USD,0.20651,0.20681,0.20318,0.2059,430624.93140261,88665.6733757974
1627423200000,2021-07-27 22:00:00,DOGE/USD,0.20353,0.20708,0.20189,0.20651,348003.76411917,71866.2573282498
1627419600000,2021-07-27 21:00:00,DOGE/USD,0.20227,0.20409,0.20199,0.20353,138095.72362674,28106.62262975039
1627416000000,2021-07-27 20:00:00,DOGE/USD,0.20128,0.20347,0.20117,0.20227,513654.49637324,103896.89498141526
1627412400000,2021-07-27 19:00:00,DOGE/USD,0.20131,0.20299,0.20105,0.20128,776611.4668753,156316.35605266038
1627408800000,2021-07-27 18:00:00,DOGE/USD,0.19951,0.20131,0.19758,0.20131,492366.185319,99118.23676656788
1627405200000,2021-07-27 17:00:00,DOGE/USD,0.19837,0.19998,0.19782,0.19951,360263.12235478,71876.09554100216
1627401600000,2021-07-27 16:00:00,DOGE/USD,0.2029,0.20406,0.19742,0.19837,994820.146989,197342.47255820793
1627398000000,2021-07-27 15:00:00,DOGE/USD,0.2042,0.20518,0.20186,0.2029,328891.75246577,66732.13657530473
1627394400000,2021-07-27 14:00:00,DOGE/USD,0.20772,0.20785,0.20118,0.2042,676074.17340006,138054.34620829226
1627390800000,2021-07-27 13:00:00,DOGE/USD,0.2088,0.20951,0.20614,0.20772,322899.99544542,67072.78705392263
1627387200000,2021-07-27 12:00:00,DOGE/USD,0.20619,0.20945,0.20438,0.2088,199851.41350127,41728.97513906518
1627383600000,2021-07-27 11:00:00,DOGE/USD,0.20397,0.20644,0.202,0.20619,467408.65180395,96374.98991545646
1627380000000,2021-07-27 10:00:00,DOGE/USD,0.20268,0.20477,0.2015,0.20397,323827.56595133,66051.10862709279
1627376400000,2021-07-27 09:00:00,DOGE/USD,0.20074,0.20358,0.2,0.20268,181560.73283,36798.729329984395
1627372800000,2021-07-27 08:00:00,DOGE/USD,0.2,0.20188,0.19946,0.20074,104260.023627,20929.15714288398
1627369200000,2021-07-27 07:00:00,DOGE/USD,0.20062,0.20164,0.19918,0.2,243756.56510729,48751.313021458
1627365600000,2021-07-27 06:00:00,DOGE/USD,0.2006,0.20267,0.19987,0.20062,218687.48907337,43873.08405789949
1627362000000,2021-07-27 05:00:00,DOGE/USD,0.19951,0.20205,0.19951,0.2006,363207.36271537,72859.39696070322
1627358400000,2021-07-27 04:00:00,DOGE/USD,0.19852,0.20076,0.19808,0.19951,185629.36625314,37034.91486116396
1627354800000,2021-07-27 03:00:00,DOGE/USD,0.19641,0.19956,0.19511,0.19852,396296.48615597,78672.77843168317
1627351200000,2021-07-27 02:00:00,DOGE/USD,0.19659,0.19955,0.196,0.19641,566337.75022002,111234.39752071412
1627347600000,2021-07-27 01:00:00,DOGE/USD,0.2038,0.20419,0.19568,0.19659,1466150.51856251,288230.5304442038
1627344000000,2021-07-27 00:00:00,DOGE/USD,0.20375,0.20506,0.2013,0.2038,481209.63543844,98070.52370235408
1627340400000,2021-07-26 23:00:00,DOGE/USD,0.2068,0.20708,0.20375,0.20375,292663.37737319,59630.16313978746
1627336800000,2021-07-26 22:00:00,DOGE/USD,0.20365,0.20739,0.20222,0.2068,1499295.37211576,310054.2829535392
1627333200000,2021-07-26 21:00:00,DOGE/USD,0.20913,0.20926,0.20026,0.20365,2700960.05187151,550050.514563633
1627329600000,2021-07-26 20:00:00,DOGE/USD,0.21735,0.21863,0.20681,0.20913,4621108.70063021,966412.462562796
1627326000000,2021-07-26 19:00:00,DOGE/USD,0.22317,0.22855,0.21735,0.21735,1683284.18979555,365861.81865206274
1627322400000,2021-07-26 18:00:00,DOGE/USD,0.22011,0.22462,0.21948,0.22317,412081.02503793,91964.12235771483
1627318800000,2021-07-26 17:00:00,DOGE/USD,0.22031,0.22135,0.21902,0.22011,1268761.14197898,279267.0149609933
1627315200000,2021-07-26 16:00:00,DOGE/USD,0.21933,0.22278,0.21779,0.22031,569254.861219,125412.53847515788
1627311600000,2021-07-26 15:00:00,DOGE/USD,0.21665,0.22089,0.21635,0.21933,1520432.33414117,333476.42384718277
1627308000000,2021-07-26 14:00:00,DOGE/USD,0.21799,0.21922,0.21557,0.21665,604816.35642387,131033.46361923144
1627304400000,2021-07-26 13:00:00,DOGE/USD,0.22174,0.22206,0.21506,0.21799,1022956.837446,222994.36099485352
1627300800000,2021-07-26 12:00:00,DOGE/USD,0.22255,0.2238,0.21938,0.22174,994872.86189012,220603.10839551518
1627297200000,2021-07-26 11:00:00,DOGE/USD,0.22489,0.22601,0.22204,0.22255,1129371.35520437,251341.59510073258
1627293600000,2021-07-26 10:00:00,DOGE/USD,0.22142,0.22684,0.22111,0.22489,616639.04826407,138675.9555641067
1627290000000,2021-07-26 09:00:00,DOGE/USD,0.22053,0.22175,0.2188,0.22142,364938.510466,80804.68498738173
1627286400000,2021-07-26 08:00:00,DOGE/USD,0.21926,0.22116,0.21645,0.22053,1795610.71483371,395986.0309422781
1627282800000,2021-07-26 07:00:00,DOGE/USD,0.22461,0.22646,0.2185,0.21926,1976762.63213741,433424.97472244856
1627279200000,2021-07-26 06:00:00,DOGE/USD,0.22646,0.233,0.224,0.22461,2498606.82637221,561212.079271462
1627275600000,2021-07-26 05:00:00,DOGE/USD,0.22616,0.22715,0.22305,0.22646,2179415.02627508,493550.32685025467
1627272000000,2021-07-26 04:00:00,DOGE/USD,0.22541,0.22997,0.22032,0.22616,5370163.48424904,1214516.1735977628
1627268400000,2021-07-26 03:00:00,DOGE/USD,0.20864,0.22564,0.20838,0.22541,4963505.42340281,1118823.7574892272
1627264800000,2021-07-26 02:00:00,DOGE/USD,0.21168,0.21317,0.20705,0.20864,2377248.17612192,495989.05946607736
1627261200000,2021-07-26 01:00:00,DOGE/USD,0.20414,0.21427,0.20185,0.21168,5960203.16176974,1261655.8052834186
1627257600000,2021-07-26 00:00:00,DOGE/USD,0.19797,0.20419,0.19718,0.20414,2596884.61316742,530128.0249319971
1627254000000,2021-07-25 23:00:00,DOGE/USD,0.19536,0.19819,0.19536,0.19797,241786.33521589,47866.440782689744
1627250400000,2021-07-25 22:00:00,DOGE/USD,0.19586,0.19586,0.19487,0.19536,149934.0015991,29291.10655240018
1627246800000,2021-07-25 21:00:00,DOGE/USD,0.19505,0.19618,0.19419,0.19586,154920.40018802,30342.709580825598
1627243200000,2021-07-25 20:00:00,DOGE/USD,0.19406,0.19509,0.1935,0.19505,126050.18066078,24586.087737885136
1627239600000,2021-07-25 19:00:00,DOGE/USD,0.19409,0.19501,0.19346,0.19406,106148.1651774,20599.112934326247
1627236000000,2021-07-25 18:00:00,DOGE/USD,0.19477,0.19527,0.19409,0.19409,180043.44718808,34944.63266473445
1627232400000,2021-07-25 17:00:00,DOGE/USD,0.1934,0.19531,0.193,0.19477,167424.057339,32609.183647917027
1627228800000,2021-07-25 16:00:00,DOGE/USD,0.1946,0.19486,0.19267,0.1934,112050.31126532,21670.530198712884
1627225200000,2021-07-25 15:00:00,DOGE/USD,0.19348,0.19486,0.19313,0.1946,137468.11003456,26751.294212725374
1627221600000,2021-07-25 14:00:00,DOGE/USD,0.19398,0.19432,0.19215,0.19348,428256.42173423,82859.05247713883
1627218000000,2021-07-25 13:00:00,DOGE/USD,0.19515,0.19561,0.19253,0.19398,153227.59945807,29723.089742876422
1627214400000,2021-07-25 12:00:00,DOGE/USD,0.19605,0.19605,0.19469,0.19515,440675.19235089,85997.76378727618
1627210800000,2021-07-25 11:00:00,DOGE/USD,0.19713,0.19743,0.19571,0.19605,53390.75122716,10467.256778084718
1627207200000,2021-07-25 10:00:00,DOGE/USD,0.19817,0.19919,0.19687,0.19713,19822.307799,3907.5715364168695
