https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD
1648843200000,2022-04-01 20:00:00,1INCH/USD,1.879,1.884,1.8581,1.8618,17328.035106,32261.335760350797
1648839600000,2022-04-01 19:00:00,1INCH/USD,1.8645,1.879,1.8645,1.879,5702.187796,10714.410868684
1648836000000,2022-04-01 18:00:00,1INCH/USD,1.8737,1.8826,1.8592,1.8645,1538.760921,2869.0197372045
1648832400000,2022-04-01 17:00:00,1INCH/USD,1.833,1.8768,1.833,1.8737,621.220518,1163.9808845766
1648828800000,2022-04-01 16:00:00,1INCH/USD,1.8172,1.853,1.8109,1.833,878.184742,1609.712632086
1648825200000,2022-04-01 15:00:00,1INCH/USD,1.8231,1.8302,1.8061,1.8172,2140.039504,3888.8797866687996
1648821600000,2022-04-01 14:00:00,1INCH/USD,1.7767,1.8231,1.7767,1.8231,2017.252652,3677.6533098612
1648818000000,2022-04-01 13:00:00,1INCH/USD,1.7476,1.7902,1.7476,1.7767,327.206779,581.3482842492999
1648814400000,2022-04-01 12:00:00,1INCH/USD,1.7442,1.7511,1.7101,1.7476,757.164934,1323.2214386584
1648810800000,2022-04-01 11:00:00,1INCH/USD,1.7461,1.7563,1.7406,1.7442,14.72306,25.679961252000002
1648807200000,2022-04-01 10:00:00,1INCH/USD,1.7452,1.7461,1.7376,1.7461,354.269257,618.5895496477
1648803600000,2022-04-01 09:00:00,1INCH/USD,1.7548,1.7556,1.7384,1.7452,77.764267,135.71419876840002
1648800000000,2022-04-01 08:00:00,1INCH/USD,1.7556,1.7684,1.7533,1.7548,232.25993,407.569725164
1648796400000,2022-04-01 07:00:00,1INCH/USD,1.7342,1.7556,1.7342,1.7556,129.240761,226.8950800116
1648792800000,2022-04-01 06:00:00,1INCH/USD,1.7147,1.7363,1.7072,1.7342,185.446653,321.6015856326
1648789200000,2022-04-01 05:00:00,1INCH/USD,1.7161,1.7288,1.7117,1.7147,1596.831668,2738.0872611196
1648785600000,2022-04-01 04:00:00,1INCH/USD,1.7039,1.725,1.7039,1.7161,15767.93922,27059.360495442
1648782000000,2022-04-01 03:00:00,1INCH/USD,1.683,1.7089,1.6816,1.7039,3015.800506,5138.6224821734
1648778400000,2022-04-01 02:00:00,1INCH/USD,1.7389,1.7545,1.6731,1.683,1615.891848,2719.545980184
1648774800000,2022-04-01 01:00:00,1INCH/USD,1.7811,1.7845,1.7349,1.7389,588.889944,1024.0207236216
1648771200000,2022-04-01 00:00:00,1INCH/USD,1.7752,1.7923,1.7672,1.7811,1072.709424,1910.6027550863996
1648767600000,2022-03-31 23:00:00,1INCH/USD,1.7856,1.788,1.7529,1.7752,1447.739184,2570.0265994368
1648764000000,2022-03-31 22:00:00,1INCH/USD,1.7787,1.7862,1.7717,1.7856,548.361776,979.1547872256
1648760400000,2022-03-31 21:00:00,1INCH/USD,1.7706,1.7811,1.7698,1.7787,233.264166,414.9069720642
1648756800000,2022-03-31 20:00:00,1INCH/USD,1.7501,1.7727,1.7446,1.7706,4063.145914,7194.2061553284
1648753200000,2022-03-31 19:00:00,1INCH/USD,1.7673,1.7674,1.7453,1.7501,597.312066,1045.3558467066
1648749600000,2022-03-31 18:00:00,1INCH/USD,1.7555,1.7673,1.7359,1.7673,529.95707,936.5931298110002
1648746000000,2022-03-31 17:00:00,1INCH/USD,1.7378,1.7762,1.7359,1.7555,618.573204,1085.9052596220001
1648742400000,2022-03-31 16:00:00,1INCH/USD,1.8098,1.819,1.7289,1.7378,9229.830423,16039.599309089399
1648738800000,2022-03-31 15:00:00,1INCH/USD,1.8299,1.8377,1.802,1.8098,569.766508,1031.1634261784002
1648735200000,2022-03-31 14:00:00,1INCH/USD,1.8602,1.8602,1.7795,1.8299,3981.322416,7285.4218890384
1648731600000,2022-03-31 13:00:00,1INCH/USD,1.9113,1.9188,1.8602,1.8602,1078.056417,2005.4005469034
1648728000000,2022-03-31 12:00:00,1INCH/USD,1.9202,1.9202,1.8872,1.9113,586.615184,1121.1976011792
1648724400000,2022-03-31 11:00:00,1INCH/USD,1.9125,1.928,1.9054,1.9202,150.075146,288.17429534919995
1648720800000,2022-03-31 10:00:00,1INCH/USD,1.9057,1.9129,1.8961,1.9125,739.897215,1415.0534236875
1648717200000,2022-03-31 09:00:00,1INCH/USD,1.9153,1.9194,1.9035,1.9057,118.496876,225.8194965932
1648713600000,2022-03-31 08:00:00,1INCH/USD,1.9175,1.9314,1.9092,1.9153,362.249858,693.8171530274001
1648710000000,2022-03-31 07:00:00,1INCH/USD,1.9062,1.9226,1.9017,1.9175,381.634107,731.7834001724999
1648706400000,2022-03-31 06:00:00,1INCH/USD,1.9048,1.9088,1.8955,1.9062,402.830736,767.8759489632
1648702800000,2022-03-31 05:00:00,1INCH/USD,1.8881,1.9061,1.8863,1.9048,440.014297,838.1392329256
1648699200000,2022-03-31 04:00:00,1INCH/USD,1.8815,1.8914,1.8769,1.8881,640.034552,1208.4492376311998
1648695600000,2022-03-31 03:00:00,1INCH/USD,1.8959,1.9031,1.88,1.8815,1396.62284,2627.74587346
1648692000000,2022-03-31 02:00:00,1INCH/USD,1.92,1.9239,1.8905,1.8959,9296.771857,17625.749763686297
1648688400000,2022-03-31 01:00:00,1INCH/USD,1.8619,1.92,1.8612,1.92,8941.64987,17167.9677504
1648684800000,2022-03-31 00:00:00,1INCH/USD,1.836,1.88,1.8345,1.8619,2184.404074,4067.1419453806
1648681200000,2022-03-30 23:00:00,1INCH/USD,1.8468,1.8607,1.836,1.836,637.222427,1169.940375972
1648677600000,2022-03-30 22:00:00,1INCH/USD,1.8526,1.8617,1.8394,1.8468,826.753481,1526.8483287108
1648674000000,2022-03-30 21:00:00,1INCH/USD,1.8456,1.889,1.837,1.8526,1301.223452,2410.6465671752
1648670400000,2022-03-30 20:00:00,1INCH/USD,1.8265,1.8471,1.8199,1.8456,1056.535727,1949.9423377511998
1648666800000,2022-03-30 19:00:00,1INCH/USD,1.8232,1.8269,1.8093,1.8265,635.104636,1160.018617654
1648663200000,2022-03-30 18:00:00,1INCH/USD,1.8536,1.8536,1.8232,1.8232,1195.080489,2178.8707475448
1648659600000,2022-03-30 17:00:00,1INCH/USD,1.8424,1.8542,1.8313,1.8536,160.945546,298.3286640656
1648656000000,2022-03-30 16:00:00,1INCH/USD,1.8513,1.8549,1.8375,1.8424,210.36115,387.56938276000005
1648652400000,2022-03-30 15:00:00,1INCH/USD,1.8154,1.8513,1.7972,1.8513,1731.816566,3206.1120086358
1648648800000,2022-03-30 14:00:00,1INCH/USD,1.7964,1.8304,1.7878,1.8154,711.595329,1291.8301602666
1648645200000,2022-03-30 13:00:00,1INCH/USD,1.8284,1.8284,1.7906,1.7964,876.340278,1574.2576753992
1648641600000,2022-03-30 12:00:00,1INCH/USD,1.8398,1.8412,1.8204,1.8284,1357.103777,2481.3285458668
1648638000000,2022-03-30 11:00:00,1INCH/USD,1.8319,1.843,1.8086,1.8398,4456.258506,8198.6243993388
1648634400000,2022-03-30 10:00:00,1INCH/USD,1.8045,1.8415,1.8045,1.8319,640.665263,1173.6346952897
1648630800000,2022-03-30 09:00:00,1INCH/USD,1.825,1.8287,1.8017,1.8045,397.020791,716.4240173595
1648627200000,2022-03-30 08:00:00,1INCH/USD,1.8281,1.8302,1.8044,1.825,969.615478,1769.54824735
1648623600000,2022-03-30 07:00:00,1INCH/USD,1.7949,1.8326,1.7926,1.8281,1010.339657,1847.0019269617
1648620000000,2022-03-30 06:00:00,1INCH/USD,1.7789,1.7962,1.7759,1.7949,131.802666,236.57260520339997
1648616400000,2022-03-30 05:00:00,1INCH/USD,1.7617,1.7796,1.7583,1.7789,680.473573,1210.4944390096998
1648612800000,2022-03-30 04:00:00,1INCH/USD,1.7635,1.7689,1.7481,1.7617,2032.688307,3580.9869904418997
1648609200000,2022-03-30 03:00:00,1INCH/USD,1.7495,1.7654,1.7495,1.7635,411.557739,725.7820727265
1648605600000,2022-03-30 02:00:00,1INCH/USD,1.7305,1.754,1.7305,1.7495,232.495999,406.75175025050004
1648602000000,2022-03-30 01:00:00,1INCH/USD,1.769,1.769,1.7031,1.7305,3760.406323,6507.3831419515
1648598400000,2022-03-30 00:00:00,1INCH/USD,1.7955,1.7955,1.7578,1.769,502.19594,888.3846178599999
1648594800000,2022-03-29 23:00:00,1INCH/USD,1.7816,1.7972,1.743,1.7955,13293.890604,23869.180579482003
1648591200000,2022-03-29 22:00:00,1INCH/USD,1.774,1.7883,1.7551,1.7816,2773.204689,4940.7414739224005
1648587600000,2022-03-29 21:00:00,1INCH/USD,1.7762,1.7904,1.7639,1.774,192.991197,342.366383478
1648584000000,2022-03-29 20:00:00,1INCH/USD,1.7978,1.8031,1.7624,1.7762,3168.123348,5627.2206907176005
1648580400000,2022-03-29 19:00:00,1INCH/USD,1.7784,1.8019,1.7784,1.7978,1730.350373,3110.8239005794003
1648576800000,2022-03-29 18:00:00,1INCH/USD,1.7891,1.7933,1.7695,1.7784,1401.170292,2491.8412472928
1648573200000,2022-03-29 17:00:00,1INCH/USD,1.8054,1.8054,1.7694,1.7891,785.613666,1405.5414098406
1648569600000,2022-03-29 16:00:00,1INCH/USD,1.8,1.8067,1.762,1.8054,2881.933967,5203.0435840218
1648566000000,2022-03-29 15:00:00,1INCH/USD,1.8533,1.8568,1.7974,1.8,1528.517855,2751.332139
1648562400000,2022-03-29 14:00:00,1INCH/USD,1.8407,1.867,1.8338,1.8533,841.458556,1559.4751418348
1648558800000,2022-03-29 13:00:00,1INCH/USD,1.8842,1.8842,1.824,1.8407,1607.103621,2958.1956351747
1648555200000,2022-03-29 12:00:00,1INCH/USD,1.8244,1.9163,1.8244,1.8842,19138.587537,36060.9266372154
1648551600000,2022-03-29 11:00:00,1INCH/USD,1.8165,1.8268,1.8155,1.8244,618.339369,1128.0983448036002
1648548000000,2022-03-29 10:00:00,1INCH/USD,1.8151,1.8351,1.8127,1.8165,642.196425,1166.5498060124999
1648544400000,2022-03-29 09:00:00,1INCH/USD,1.8108,1.8212,1.8107,1.8151,2315.398776,4202.6803183176
1648540800000,2022-03-29 08:00:00,1INCH/USD,1.7766,1.8234,1.7761,1.8108,548.152166,992.5939421927999
1648537200000,2022-03-29 07:00:00,1INCH/USD,1.79,1.7907,1.7766,1.7766,907.010085,1611.394117011
1648533600000,2022-03-29 06:00:00,1INCH/USD,1.7932,1.8008,1.7856,1.79,204.962386,366.88267094
1648530000000,2022-03-29 05:00:00,1INCH/USD,1.7801,1.7963,1.7799,1.7932,620.046624,1111.8676061567999
1648526400000,2022-03-29 04:00:00,1INCH/USD,1.7556,1.7815,1.7556,1.7801,139.567876,248.44477606760003
1648522800000,2022-03-29 03:00:00,1INCH/USD,1.7533,1.762,1.7463,1.7556,92.049596,161.60227073759998
1648519200000,2022-03-29 02:00:00,1INCH/USD,1.7758,1.7782,1.7533,1.7533,397.556401,697.0356378733001
1648515600000,2022-03-29 01:00:00,1INCH/USD,1.749,1.7799,1.7478,1.7758,871.738433,1548.0331093214
1648512000000,2022-03-29 00:00:00,1INCH/USD,1.7208,1.7585,1.7208,1.749,986.07491,1724.6450175900002
1648508400000,2022-03-28 23:00:00,1INCH/USD,1.7659,1.7693,1.7095,1.7208,1703.198626,2930.8641956208003
1648504800000,2022-03-28 22:00:00,1INCH/USD,1.7737,1.7851,1.7659,1.7659,778.814033,1375.3077008747
