https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1651104000000,2022-04-28 00:00:00,APE/USD,19.443,19.682,19.281,19.281,7407.714566,142828.144547046
1651100400000,2022-04-27 23:00:00,APE/USD,19.272,19.5,19.272,19.443,3016.504948,58649.905703964
1651096800000,2022-04-27 22:00:00,APE/USD,19.656,19.656,19.232,19.272,11277.587234,217341.661173648
1651093200000,2022-04-27 21:00:00,APE/USD,19.708,19.979,19.601,19.656,24643.939336,484401.27158841596
1651089600000,2022-04-27 20:00:00,APE/USD,19.623,19.8,19.56,19.708,2932.352004,57790.793294831994
1651086000000,2022-04-27 19:00:00,APE/USD,19.453,19.702,19.418,19.623,7342.768366,144087.14364601803
1651082400000,2022-04-27 18:00:00,APE/USD,19.487,19.795,19.372,19.453,11743.424671,228444.840124963
1651078800000,2022-04-27 17:00:00,APE/USD,19.29,19.75,19.103,19.487,10830.646993,211056.817952591
1651075200000,2022-04-27 16:00:00,APE/USD,19.217,19.565,19.144,19.29,34849.036355,672237.9112879499
1651071600000,2022-04-27 15:00:00,APE/USD,19.109,19.237,19.109,19.217,213.425791,4101.4034256469995
1651068000000,2022-04-27 14:00:00,APE/USD,19.336,19.336,18.884,19.109,8803.806922,168231.946472498
1651064400000,2022-04-27 13:00:00,APE/USD,18.946,19.424,18.914,19.336,14340.959817,277296.799021512
1651060800000,2022-04-27 12:00:00,APE/USD,18.944,19.202,18.84,18.946,11272.857938,213575.56649334801
1651057200000,2022-04-27 11:00:00,APE/USD,19.14,19.167,18.718,18.944,5813.913322,110138.773971968
1651053600000,2022-04-27 10:00:00,APE/USD,19.19,19.262,19.022,19.14,8470.696159,162129.12448325998
1651050000000,2022-04-27 09:00:00,APE/USD,19.035,19.278,18.784,19.19,17569.173824,337152.44568256004
1651046400000,2022-04-27 08:00:00,APE/USD,18.656,19.078,18.571,19.035,4099.213587,78028.530628545
1651042800000,2022-04-27 07:00:00,APE/USD,18.458,18.795,18.453,18.656,13658.023645,254804.08912111996
1651039200000,2022-04-27 06:00:00,APE/USD,18.191,18.474,18.149,18.458,3229.08251,59602.40496958
1651035600000,2022-04-27 05:00:00,APE/USD,18.239,18.393,18.191,18.191,4306.472219,78339.036135829
1651032000000,2022-04-27 04:00:00,APE/USD,18.076,18.245,18.051,18.239,5543.104383,101100.680841537
1651028400000,2022-04-27 03:00:00,APE/USD,18.049,18.096,17.859,18.076,4284.429063,77445.339742788
1651024800000,2022-04-27 02:00:00,APE/USD,17.964,18.107,17.872,18.049,12821.578491,231416.670184059
1651021200000,2022-04-27 01:00:00,APE/USD,18.18,18.23,17.902,17.964,5315.990205,95496.44804261999
1651017600000,2022-04-27 00:00:00,APE/USD,18.084,18.405,18.0,18.18,9532.96117,173309.2340706
1651014000000,2022-04-26 23:00:00,APE/USD,18.205,18.419,17.756,18.084,8665.673229,156710.034673236
1651010400000,2022-04-26 22:00:00,APE/USD,18.1,18.54,18.075,18.205,10351.542752,188449.83580015998
1651006800000,2022-04-26 21:00:00,APE/USD,17.971,18.141,17.89,18.1,2881.20999,52149.900819
1651003200000,2022-04-26 20:00:00,APE/USD,18.138,18.187,17.864,17.971,10290.27226,184926.48278446
1650999600000,2022-04-26 19:00:00,APE/USD,17.865,18.183,17.678,18.138,9213.534217,167115.08362794603
1650996000000,2022-04-26 18:00:00,APE/USD,17.663,17.886,17.551,17.865,27823.504978,497066.91643196996
1650992400000,2022-04-26 17:00:00,APE/USD,18.201,18.228,17.603,17.663,12016.637783,212249.873161129
1650988800000,2022-04-26 16:00:00,APE/USD,17.861,18.248,17.729,18.201,13776.151481,250739.73310568102
1650985200000,2022-04-26 15:00:00,APE/USD,17.814,18.253,17.765,17.861,23976.9922,428253.0576842
1650981600000,2022-04-26 14:00:00,APE/USD,17.53,18.063,17.42,17.814,11758.741849,209470.227298086
1650978000000,2022-04-26 13:00:00,APE/USD,17.79,17.9,17.501,17.53,14998.798692,262928.94107076
1650974400000,2022-04-26 12:00:00,APE/USD,18.004,18.022,17.538,17.79,8834.025506,157157.31375174
1650970800000,2022-04-26 11:00:00,APE/USD,18.1,18.187,17.876,18.004,2924.748425,52657.17064370001
1650967200000,2022-04-26 10:00:00,APE/USD,18.187,18.319,17.999,18.1,5734.327847,103791.3340307
1650963600000,2022-04-26 09:00:00,APE/USD,18.148,18.407,18.032,18.187,5975.637117,108678.91224687902
1650960000000,2022-04-26 08:00:00,APE/USD,17.897,18.22,17.897,18.148,2905.510596,52729.206296208
1650956400000,2022-04-26 07:00:00,APE/USD,17.804,18.067,17.79,17.897,10734.94319,192123.27827142997
1650952800000,2022-04-26 06:00:00,APE/USD,18.319,18.383,17.804,17.804,21243.810261,378224.79788684397
1650949200000,2022-04-26 05:00:00,APE/USD,18.606,18.661,18.212,18.319,14323.50299,262392.25127381
1650945600000,2022-04-26 04:00:00,APE/USD,18.6,18.791,18.596,18.606,2113.20254,39318.24645924001
1650942000000,2022-04-26 03:00:00,APE/USD,18.745,18.832,18.493,18.6,8485.524158,157830.74933880003
1650938400000,2022-04-26 02:00:00,APE/USD,18.756,18.931,18.564,18.745,42046.07226,788153.6245137
1650934800000,2022-04-26 01:00:00,APE/USD,19.362,19.362,18.602,18.756,44858.549678,841366.957760568
1650931200000,2022-04-26 00:00:00,APE/USD,19.39,19.646,18.91,19.362,54744.460323,1059962.2407739258
1650927600000,2022-04-25 23:00:00,APE/USD,18.204,19.613,17.994,19.39,57035.276328,1105914.00799992
1650924000000,2022-04-25 22:00:00,APE/USD,17.885,18.229,17.747,18.204,11730.36297,213539.52750588002
1650920400000,2022-04-25 21:00:00,APE/USD,17.895,18.137,17.828,17.885,5752.147648,102877.16068448001
1650916800000,2022-04-25 20:00:00,APE/USD,18.006,18.05,17.662,17.895,13228.9643,236732.3161485
1650913200000,2022-04-25 19:00:00,APE/USD,18.01,18.173,17.58,18.006,34467.139192,620615.308291152
1650909600000,2022-04-25 18:00:00,APE/USD,18.09,18.168,17.8,18.01,19594.995329,352905.86587529007
1650906000000,2022-04-25 17:00:00,APE/USD,17.894,18.399,17.865,18.09,18393.441169,332737.35074721003
1650902400000,2022-04-25 16:00:00,APE/USD,17.646,18.26,17.445,17.894,36716.548585,657005.9203799899
1650898800000,2022-04-25 15:00:00,APE/USD,17.665,17.892,17.526,17.646,22195.81079,391667.27720034
1650895200000,2022-04-25 14:00:00,APE/USD,17.307,17.751,17.204,17.665,12342.133969,218023.796562385
1650891600000,2022-04-25 13:00:00,APE/USD,17.312,17.453,17.133,17.307,9631.763833,166696.936657731
1650888000000,2022-04-25 12:00:00,APE/USD,17.217,17.425,17.029,17.312,4462.666184,77257.676977408
1650884400000,2022-04-25 11:00:00,APE/USD,17.251,17.812,17.152,17.217,8648.555921,148902.18729185697
1650880800000,2022-04-25 10:00:00,APE/USD,17.329,17.446,17.104,17.251,2357.278463,40665.410765213004
1650877200000,2022-04-25 09:00:00,APE/USD,17.184,17.585,16.951,17.329,20689.916066,358535.55550771405
1650873600000,2022-04-25 08:00:00,APE/USD,16.745,17.489,16.642,17.184,14296.95705,245678.90994720004
1650870000000,2022-04-25 07:00:00,APE/USD,16.343,16.844,16.199,16.745,5925.938659,99229.84284495501
1650866400000,2022-04-25 06:00:00,APE/USD,16.826,16.84,16.343,16.343,8112.831907,132588.011856101
1650862800000,2022-04-25 05:00:00,APE/USD,16.902,16.996,16.65,16.826,7652.760312,128765.34500971201
1650859200000,2022-04-25 04:00:00,APE/USD,16.941,17.165,16.667,16.902,7037.12858,118941.54725916
1650855600000,2022-04-25 03:00:00,APE/USD,16.774,17.258,16.635,16.941,18849.428319,319328.16515217896
