https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENS,Volume USD
1647086400000,2022-03-12 12:00:00,ENS/USD,13.867,13.873,13.826,13.869,5.963799,82.711928331
1647082800000,2022-03-12 11:00:00,ENS/USD,13.842,13.867,13.842,13.867,0.002,0.027734
1647079200000,2022-03-12 10:00:00,ENS/USD,13.93,13.942,13.842,13.842,41.147907,569.569328694
1647075600000,2022-03-12 09:00:00,ENS/USD,13.898,13.93,13.898,13.93,0.002,0.02786
1647072000000,2022-03-12 08:00:00,ENS/USD,14.091,14.091,13.898,13.898,0.019,0.26406199999999996
1647068400000,2022-03-12 07:00:00,ENS/USD,14.091,14.091,14.091,14.091,0.0,0.0
1647064800000,2022-03-12 06:00:00,ENS/USD,14.091,14.091,14.091,14.091,0.0,0.0
1647061200000,2022-03-12 05:00:00,ENS/USD,14.122,14.131,14.043,14.091,105.929136,1492.647455376
1647057600000,2022-03-12 04:00:00,ENS/USD,14.122,14.122,14.122,14.122,0.0,0.0
1647054000000,2022-03-12 03:00:00,ENS/USD,13.995,14.133,13.995,14.122,73.418899,1036.821691678
1647050400000,2022-03-12 02:00:00,ENS/USD,14.086,14.142,13.97,13.995,5.060008,70.81481196
1647046800000,2022-03-12 01:00:00,ENS/USD,13.969,14.086,13.969,14.086,2.40857,33.927117020000004
1647043200000,2022-03-12 00:00:00,ENS/USD,13.838,14.008,13.703,13.969,62.050034,866.7769249459999
1647039600000,2022-03-11 23:00:00,ENS/USD,13.868,13.873,13.838,13.838,8.759068,121.20798298399998
1647036000000,2022-03-11 22:00:00,ENS/USD,13.804,13.868,13.804,13.868,0.009234,0.128057112
1647032400000,2022-03-11 21:00:00,ENS/USD,13.591,13.804,13.591,13.804,50.238105,693.48680142
1647028800000,2022-03-11 20:00:00,ENS/USD,13.679,13.755,13.591,13.591,81.655986,1109.7865057259999
1647025200000,2022-03-11 19:00:00,ENS/USD,13.676,13.733,13.618,13.679,201.026534,2749.841958586
1647021600000,2022-03-11 18:00:00,ENS/USD,13.721,13.799,13.676,13.676,7.296454,99.786304904
1647018000000,2022-03-11 17:00:00,ENS/USD,13.716,13.721,13.716,13.721,0.002,0.027442
1647014400000,2022-03-11 16:00:00,ENS/USD,13.837,13.837,13.716,13.716,1.140942,15.649160471999998
1647010800000,2022-03-11 15:00:00,ENS/USD,14.198,14.198,13.824,13.837,89.463935,1237.912468595
1647007200000,2022-03-11 14:00:00,ENS/USD,14.163,14.205,14.033,14.198,47.996747,681.457813906
1647003600000,2022-03-11 13:00:00,ENS/USD,14.211,14.279,14.163,14.163,1.931102,27.350197626000003
1647000000000,2022-03-11 12:00:00,ENS/USD,14.143,14.211,14.143,14.211,3.035605,43.138982655
1646996400000,2022-03-11 11:00:00,ENS/USD,13.971,14.309,13.9,14.143,35.031352,495.448411336
1646992800000,2022-03-11 10:00:00,ENS/USD,13.971,13.971,13.971,13.971,0.0,0.0
1646989200000,2022-03-11 09:00:00,ENS/USD,13.97,14.025,13.97,13.971,1.798921,25.132725291
1646985600000,2022-03-11 08:00:00,ENS/USD,13.893,13.97,13.893,13.97,1.68283,23.5091351
1646982000000,2022-03-11 07:00:00,ENS/USD,13.714,13.993,13.714,13.893,3.400596,47.24448022800001
1646978400000,2022-03-11 06:00:00,ENS/USD,13.714,13.714,13.714,13.714,0.0,0.0
1646974800000,2022-03-11 05:00:00,ENS/USD,13.802,13.802,13.671,13.714,0.982192,13.469781088
1646971200000,2022-03-11 04:00:00,ENS/USD,13.967,13.967,13.802,13.802,5.236673,72.27656074599999
1646967600000,2022-03-11 03:00:00,ENS/USD,13.673,13.974,13.619,13.967,0.930167,12.991642489
1646964000000,2022-03-11 02:00:00,ENS/USD,13.82,13.82,13.568,13.673,52.312411,715.267595603
1646960400000,2022-03-11 01:00:00,ENS/USD,14.033,14.033,13.779,13.82,52.962871,731.94687722
1646956800000,2022-03-11 00:00:00,ENS/USD,14.057,14.057,14.033,14.033,3.616704,50.753207231999994
1646953200000,2022-03-10 23:00:00,ENS/USD,14.07,14.094,14.057,14.057,1.27973,17.98916461
1646949600000,2022-03-10 22:00:00,ENS/USD,14.093,14.093,13.882,14.07,2.729996,38.41104372
1646946000000,2022-03-10 21:00:00,ENS/USD,14.055,14.145,14.044,14.093,64.814655,913.432932915
1646942400000,2022-03-10 20:00:00,ENS/USD,14.069,14.135,14.055,14.055,0.501137,7.0434805350000005
1646938800000,2022-03-10 19:00:00,ENS/USD,14.054,14.141,14.054,14.069,8.802606,123.84386381400002
1646935200000,2022-03-10 18:00:00,ENS/USD,13.857,14.054,13.857,14.054,32.267795,453.49159093000003
1646931600000,2022-03-10 17:00:00,ENS/USD,13.875,13.875,13.857,13.857,1.689603,23.412828770999997
1646928000000,2022-03-10 16:00:00,ENS/USD,14.021,14.023,13.875,13.875,1.009131,14.001692625
1646924400000,2022-03-10 15:00:00,ENS/USD,13.961,14.043,13.924,14.021,303.081758,4249.509328918
1646920800000,2022-03-10 14:00:00,ENS/USD,13.965,13.965,13.847,13.961,269.365242,3760.6081435620004
1646917200000,2022-03-10 13:00:00,ENS/USD,14.156,14.156,13.709,13.965,7.434375,103.82104687500001
1646913600000,2022-03-10 12:00:00,ENS/USD,14.079,14.156,14.065,14.156,13.239634,187.420258904
1646910000000,2022-03-10 11:00:00,ENS/USD,14.183,14.183,14.0,14.079,53.729849,756.462544071
1646906400000,2022-03-10 10:00:00,ENS/USD,14.31,14.31,14.183,14.183,0.002,0.028366
1646902800000,2022-03-10 09:00:00,ENS/USD,13.926,14.31,13.926,14.31,224.918867,3218.5889867700002
1646899200000,2022-03-10 08:00:00,ENS/USD,14.201,14.201,13.926,13.926,1.145493,15.952135518000002
1646895600000,2022-03-10 07:00:00,ENS/USD,14.117,14.201,14.117,14.201,0.006,0.085206
1646892000000,2022-03-10 06:00:00,ENS/USD,14.019,14.117,14.019,14.117,54.458,768.783586
1646888400000,2022-03-10 05:00:00,ENS/USD,14.587,14.587,13.981,14.019,90.739479,1272.076756101
1646884800000,2022-03-10 04:00:00,ENS/USD,15.768,15.891,14.483,14.587,279.520928,4077.3717767360004
1646881200000,2022-03-10 03:00:00,ENS/USD,15.136,16.153,15.088,15.768,304.048682,4794.239617776
