https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1649422800000,2022-04-08 13:00:00,BTCG/USD,43250.0,43250.0,42800.25,42996.37,0.27395434,11779.042165745801
1649419200000,2022-04-08 12:00:00,BTCG/USD,43300.0,43412.26,43250.0,43250.0,0.01206649,521.8756925
1649415600000,2022-04-08 11:00:00,BTCG/USD,43631.99,43631.99,43300.0,43300.0,0.13037354,5645.174282000001
1649412000000,2022-04-08 10:00:00,BTCG/USD,43631.99,43631.99,43631.99,43631.99,0.0,0.0
1649408400000,2022-04-08 09:00:00,BTCG/USD,43893.04,43893.04,43631.99,43631.99,0.04496007,1961.6973246392997
1649404800000,2022-04-08 08:00:00,BTCG/USD,43526.77,43906.61,43526.77,43893.04,0.07153733,3139.9908871832
1649401200000,2022-04-08 07:00:00,BTCG/USD,43546.24,43570.97,43463.73,43526.77,0.01652115,719.1122961854999
1649397600000,2022-04-08 06:00:00,BTCG/USD,43546.24,43546.24,43546.24,43546.24,0.0,0.0
1649394000000,2022-04-08 05:00:00,BTCG/USD,43505.26,43546.24,43505.26,43546.24,0.02250937,980.1984282688
1649390400000,2022-04-08 04:00:00,BTCG/USD,43554.35,43634.24,43505.26,43505.26,0.00805181,350.2960875206
1649386800000,2022-04-08 03:00:00,BTCG/USD,43639.32,43708.38,43554.35,43554.35,0.19326549,8417.5527943815
1649383200000,2022-04-08 02:00:00,BTCG/USD,43596.29,43670.18,43596.29,43639.32,0.67583585,29493.016925622
1649379600000,2022-04-08 01:00:00,BTCG/USD,43463.68,43622.46,43404.68,43596.29,0.61230224,26694.1060226896
1649376000000,2022-04-08 00:00:00,BTCG/USD,43550.0,43550.0,43350.0,43463.68,0.08921693,3877.6960961024
1649372400000,2022-04-07 23:00:00,BTCG/USD,43608.01,43700.0,43550.0,43550.0,0.30465922,13267.909031000001
1649368800000,2022-04-07 22:00:00,BTCG/USD,43608.01,43608.01,43608.01,43608.01,0.0,0.0
1649365200000,2022-04-07 21:00:00,BTCG/USD,43562.46,43608.01,43349.89,43608.01,0.11635845,5074.160451184501
1649361600000,2022-04-07 20:00:00,BTCG/USD,43449.13,43562.46,43447.41,43562.46,0.03028762,1319.4032347452
1649358000000,2022-04-07 19:00:00,BTCG/USD,43616.44,43716.83,43449.13,43449.13,0.11459687,4979.134302223099
1649354400000,2022-04-07 18:00:00,BTCG/USD,43561.2,43675.21,43561.2,43616.44,0.00258148,112.59496753120001
