https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD
1645480800000,2022-02-21 22:00:00,CUBE/USD,5.3274,5.3504,5.293,5.2989,1477.891419,7831.1988401391
1645477200000,2022-02-21 21:00:00,CUBE/USD,5.3245,5.3404,5.3245,5.3274,44.428933,236.6906976642
1645473600000,2022-02-21 20:00:00,CUBE/USD,5.3357,5.341,5.3213,5.3245,132.87414,707.48835843
1645470000000,2022-02-21 19:00:00,CUBE/USD,5.327,5.358,5.3194,5.3357,234.524311,1251.3513662027
1645466400000,2022-02-21 18:00:00,CUBE/USD,5.4058,5.4089,5.3208,5.327,3980.971318,21206.634210985998
1645462800000,2022-02-21 17:00:00,CUBE/USD,5.3997,5.4219,5.3929,5.4058,139.335109,753.2177322322
1645459200000,2022-02-21 16:00:00,CUBE/USD,5.2269,5.4093,5.225,5.3997,7829.396243,42276.3908933271
1645455600000,2022-02-21 15:00:00,CUBE/USD,5.1756,5.2527,5.1756,5.2269,1367.22222,7146.333821718
1645452000000,2022-02-21 14:00:00,CUBE/USD,5.1445,5.1791,5.1132,5.1756,2958.35929,15311.284341324
1645448400000,2022-02-21 13:00:00,CUBE/USD,5.1909,5.1909,5.132,5.1445,489.902825,2520.3050832125
1645444800000,2022-02-21 12:00:00,CUBE/USD,5.2181,5.2299,5.1735,5.1909,619.463965,3215.5754959185
1645441200000,2022-02-21 11:00:00,CUBE/USD,5.4484,5.4494,5.2074,5.2181,5567.743765,29053.0437401465
1645437600000,2022-02-21 10:00:00,CUBE/USD,5.4565,5.4688,5.4349,5.4484,717.264652,3907.9447299568
1645434000000,2022-02-21 09:00:00,CUBE/USD,5.4681,5.4681,5.4419,5.4565,186.59059,1018.131554335
1645430400000,2022-02-21 08:00:00,CUBE/USD,5.4605,5.4742,5.4605,5.4681,13.557897,74.1359365857
1645426800000,2022-02-21 07:00:00,CUBE/USD,5.4729,5.4859,5.4349,5.4605,1587.040632,8666.035371036
1645423200000,2022-02-21 06:00:00,CUBE/USD,5.4341,5.4937,5.4205,5.4729,2273.467522,12442.4604011538
1645419600000,2022-02-21 05:00:00,CUBE/USD,5.4035,5.4381,5.38,5.4341,855.770722,4650.3436804202
1645416000000,2022-02-21 04:00:00,CUBE/USD,5.3794,5.413,5.376,5.4035,239.144403,1292.2167816105
1645412400000,2022-02-21 03:00:00,CUBE/USD,5.3892,5.3962,5.3745,5.3794,155.296962,835.4044773828001
1645408800000,2022-02-21 02:00:00,CUBE/USD,5.2933,5.3977,5.2933,5.3892,2498.620051,13465.5631788492
1645405200000,2022-02-21 01:00:00,CUBE/USD,5.1662,5.3067,5.1662,5.2933,5336.729663,28248.9111251579
1645401600000,2022-02-21 00:00:00,CUBE/USD,5.1758,5.1836,5.1662,5.1662,86.850377,448.68641765739994
1645398000000,2022-02-20 23:00:00,CUBE/USD,5.1651,5.1843,5.1426,5.1758,556.62158,2880.961973764
1645394400000,2022-02-20 22:00:00,CUBE/USD,5.1769,5.1843,5.1301,5.1651,1033.866319,5340.022924266899
1645390800000,2022-02-20 21:00:00,CUBE/USD,5.158,5.1772,5.158,5.1769,136.512789,706.7130573741
1645387200000,2022-02-20 20:00:00,CUBE/USD,5.1664,5.1754,5.1545,5.158,88.4833,456.39686140000003
1645383600000,2022-02-20 19:00:00,CUBE/USD,5.1543,5.1664,5.1505,5.1664,64.740808,334.4769104512
1645380000000,2022-02-20 18:00:00,CUBE/USD,5.1654,5.1727,5.1348,5.1543,708.615831,3652.4185777232997
1645376400000,2022-02-20 17:00:00,CUBE/USD,5.1321,5.172,5.1321,5.1654,841.375798,4346.0425469892
1645372800000,2022-02-20 16:00:00,CUBE/USD,5.2086,5.2394,5.1134,5.1321,8605.684739,44165.234649021906
1645369200000,2022-02-20 15:00:00,CUBE/USD,5.1698,5.2171,5.162,5.2086,1107.790318,5770.0366503348
1645365600000,2022-02-20 14:00:00,CUBE/USD,5.1445,5.1863,5.1272,5.1698,2112.690796,10922.188877160801
1645362000000,2022-02-20 13:00:00,CUBE/USD,5.142,5.1445,5.1305,5.1445,891.966807,4588.7232386115
1645358400000,2022-02-20 12:00:00,CUBE/USD,5.0877,5.142,5.0637,5.142,5496.042079,28260.648370218
1645354800000,2022-02-20 11:00:00,CUBE/USD,5.138,5.1429,5.05,5.0877,2217.389874,11281.4144619498
1645351200000,2022-02-20 10:00:00,CUBE/USD,5.1325,5.1445,5.1263,5.138,1207.803202,6205.6928518760005
