https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPI,Volume USD
1647612000000,2022-03-18 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647608400000,2022-03-18 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647604800000,2022-03-18 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647601200000,2022-03-18 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647597600000,2022-03-18 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647594000000,2022-03-18 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647590400000,2022-03-18 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647586800000,2022-03-18 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647583200000,2022-03-18 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647579600000,2022-03-18 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647576000000,2022-03-18 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647572400000,2022-03-18 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647568800000,2022-03-18 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647565200000,2022-03-18 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647561600000,2022-03-18 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647558000000,2022-03-17 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647554400000,2022-03-17 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647550800000,2022-03-17 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647547200000,2022-03-17 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647543600000,2022-03-17 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647540000000,2022-03-17 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647536400000,2022-03-17 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647532800000,2022-03-17 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647529200000,2022-03-17 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647525600000,2022-03-17 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647522000000,2022-03-17 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647518400000,2022-03-17 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647514800000,2022-03-17 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647511200000,2022-03-17 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647507600000,2022-03-17 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647504000000,2022-03-17 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647500400000,2022-03-17 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647496800000,2022-03-17 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647493200000,2022-03-17 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647489600000,2022-03-17 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647486000000,2022-03-17 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647482400000,2022-03-17 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647478800000,2022-03-17 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647475200000,2022-03-17 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647471600000,2022-03-16 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647468000000,2022-03-16 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647464400000,2022-03-16 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647460800000,2022-03-16 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647457200000,2022-03-16 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647453600000,2022-03-16 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647450000000,2022-03-16 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647446400000,2022-03-16 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647442800000,2022-03-16 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647439200000,2022-03-16 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647435600000,2022-03-16 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647432000000,2022-03-16 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647428400000,2022-03-16 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647424800000,2022-03-16 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647421200000,2022-03-16 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647417600000,2022-03-16 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647414000000,2022-03-16 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647410400000,2022-03-16 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647406800000,2022-03-16 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647403200000,2022-03-16 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647399600000,2022-03-16 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647396000000,2022-03-16 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647392400000,2022-03-16 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647388800000,2022-03-16 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647385200000,2022-03-15 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647381600000,2022-03-15 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647378000000,2022-03-15 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647374400000,2022-03-15 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647370800000,2022-03-15 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647367200000,2022-03-15 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647363600000,2022-03-15 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647360000000,2022-03-15 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647356400000,2022-03-15 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647352800000,2022-03-15 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647349200000,2022-03-15 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647345600000,2022-03-15 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647342000000,2022-03-15 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647338400000,2022-03-15 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647334800000,2022-03-15 09:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647331200000,2022-03-15 08:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647327600000,2022-03-15 07:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647324000000,2022-03-15 06:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647320400000,2022-03-15 05:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647316800000,2022-03-15 04:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647313200000,2022-03-15 03:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647309600000,2022-03-15 02:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647306000000,2022-03-15 01:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647302400000,2022-03-15 00:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647298800000,2022-03-14 23:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647295200000,2022-03-14 22:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647291600000,2022-03-14 21:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647288000000,2022-03-14 20:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647284400000,2022-03-14 19:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647280800000,2022-03-14 18:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647277200000,2022-03-14 17:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647273600000,2022-03-14 16:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647270000000,2022-03-14 15:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647266400000,2022-03-14 14:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647262800000,2022-03-14 13:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647259200000,2022-03-14 12:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647255600000,2022-03-14 11:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647252000000,2022-03-14 10:00:00,DPI/USD,0.0,0.0,0.0,0.0,0.0,0.0
