https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MPL,Volume USD
1648040400000,2022-03-23 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648036800000,2022-03-23 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648033200000,2022-03-23 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648029600000,2022-03-23 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648026000000,2022-03-23 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648022400000,2022-03-23 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648018800000,2022-03-23 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648015200000,2022-03-23 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648011600000,2022-03-23 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648008000000,2022-03-23 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648004400000,2022-03-23 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1648000800000,2022-03-23 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647997200000,2022-03-23 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647993600000,2022-03-23 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647990000000,2022-03-22 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647986400000,2022-03-22 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647982800000,2022-03-22 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647979200000,2022-03-22 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647975600000,2022-03-22 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647972000000,2022-03-22 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647968400000,2022-03-22 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647964800000,2022-03-22 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647961200000,2022-03-22 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647957600000,2022-03-22 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647954000000,2022-03-22 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647950400000,2022-03-22 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647946800000,2022-03-22 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647943200000,2022-03-22 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647939600000,2022-03-22 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647936000000,2022-03-22 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647932400000,2022-03-22 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647928800000,2022-03-22 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647925200000,2022-03-22 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647921600000,2022-03-22 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647918000000,2022-03-22 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647914400000,2022-03-22 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647910800000,2022-03-22 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647907200000,2022-03-22 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647903600000,2022-03-21 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647900000000,2022-03-21 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647896400000,2022-03-21 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647892800000,2022-03-21 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647889200000,2022-03-21 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647885600000,2022-03-21 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
