unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,just_date
1651571400,2022-05-03 09:50:00,XRP/USD,0.61681,0.61684,0.61681,0.61683,31766.90295813,19594.778751663325,2022-05-03
1651571340,2022-05-03 09:49:00,XRP/USD,0.61704,0.61713,0.61704,0.61713,8396.44118836,5181.695750572607,2022-05-03
1651571280,2022-05-03 09:48:00,XRP/USD,0.61714,0.61726,0.61714,0.61721,25183.49908057,15543.50746751861,2022-05-03
1651571220,2022-05-03 09:47:00,XRP/USD,0.61717,0.61717,0.61713,0.61713,20500.43125208,12651.43113859613,2022-05-03
1651571160,2022-05-03 09:46:00,XRP/USD,0.61679,0.61719,0.61675,0.61719,33462.49297895,20652.71604167815,2022-05-03
1651571100,2022-05-03 09:45:00,XRP/USD,0.61674,0.61703,0.61673,0.61703,25052.23039964,15457.977723489868,2022-05-03
1651571040,2022-05-03 09:44:00,XRP/USD,0.61665,0.61665,0.6165,0.61661,35003.84115837,21583.718496662525,2022-05-03
1651570980,2022-05-03 09:43:00,XRP/USD,0.61617,0.61627,0.61617,0.61627,6486.21625498,3997.260491456524,2022-05-03
1651570920,2022-05-03 09:42:00,XRP/USD,0.61707,0.61707,0.61629,0.61629,22417.40363692,13815.621687397426,2022-05-03
1651570860,2022-05-03 09:41:00,XRP/USD,0.61754,0.61754,0.61659,0.61665,28960.66394993,17858.593424724335,2022-05-03
1651570800,2022-05-03 09:40:00,XRP/USD,0.61771,0.61771,0.61754,0.61754,32703.28387917,20195.58592674264,2022-05-03
1651570740,2022-05-03 09:39:00,XRP/USD,0.6182,0.6182,0.61784,0.6179,22991.75791099,14206.60721320072,2022-05-03
1651570680,2022-05-03 09:38:00,XRP/USD,0.61809,0.61809,0.61809,0.61809,2347.59977542,1451.0279451893475,2022-05-03
1651570620,2022-05-03 09:37:00,XRP/USD,0.61765,0.61828,0.61765,0.61816,7988.56606831,4938.212000786511,2022-05-03
1651570560,2022-05-03 09:36:00,XRP/USD,0.61743,0.61765,0.61743,0.61765,7992.45422191,4936.539350162712,2022-05-03
1651570500,2022-05-03 09:35:00,XRP/USD,0.61747,0.61758,0.61734,0.61734,33449.92584108,20649.97721873233,2022-05-03
1651570440,2022-05-03 09:34:00,XRP/USD,0.61724,0.61747,0.61724,0.61747,46955.15319478,28993.39844318081,2022-05-03
1651570380,2022-05-03 09:33:00,XRP/USD,0.61725,0.61725,0.61707,0.61707,266.0917494,164.197235802258,2022-05-03
1651570320,2022-05-03 09:32:00,XRP/USD,0.61696,0.61696,0.61688,0.61688,9672.15119947,5966.556631929053,2022-05-03
1651570260,2022-05-03 09:31:00,XRP/USD,0.61687,0.61695,0.61687,0.61695,904.40519641,557.9727859251495,2022-05-03
1651570200,2022-05-03 09:30:00,XRP/USD,0.61611,0.61611,0.61611,0.61611,2877.11752068,1772.620875666155,2022-05-03
1651570140,2022-05-03 09:29:00,XRP/USD,0.61697,0.61697,0.61697,0.61697,41.0,25.29577,2022-05-03
1651570080,2022-05-03 09:28:00,XRP/USD,0.61759,0.61759,0.61759,0.61759,0.0,0.0,2022-05-03
1651570020,2022-05-03 09:27:00,XRP/USD,0.61759,0.61759,0.61759,0.61759,0.0,0.0,2022-05-03
