unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,just_date
1651445880,2022-05-01 22:58:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651445820,2022-05-01 22:57:00,LTC/USD,98.62,98.62,98.62,98.62,0.0,0.0,2022-05-01
1651445760,2022-05-01 22:56:00,LTC/USD,98.6,98.62,98.6,98.62,137.23520459,13534.1358766658,2022-05-01
1651445700,2022-05-01 22:55:00,LTC/USD,98.52,98.6,98.4,98.4,192.28125816,18920.475802944,2022-05-01
1651445640,2022-05-01 22:54:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445580,2022-05-01 22:53:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445520,2022-05-01 22:52:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445460,2022-05-01 22:51:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445400,2022-05-01 22:50:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445340,2022-05-01 22:49:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445280,2022-05-01 22:48:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445220,2022-05-01 22:47:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445160,2022-05-01 22:46:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445100,2022-05-01 22:45:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651445040,2022-05-01 22:44:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444980,2022-05-01 22:43:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444920,2022-05-01 22:42:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444860,2022-05-01 22:41:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444800,2022-05-01 22:40:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444740,2022-05-01 22:39:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444680,2022-05-01 22:38:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444620,2022-05-01 22:37:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444560,2022-05-01 22:36:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444500,2022-05-01 22:35:00,LTC/USD,98.46,98.46,98.46,98.46,0.0,0.0,2022-05-01
1651444440,2022-05-01 22:34:00,LTC/USD,98.47,98.47,98.46,98.46,104.0,10239.84,2022-05-01
1651444380,2022-05-01 22:33:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651444320,2022-05-01 22:32:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651444260,2022-05-01 22:31:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651444200,2022-05-01 22:30:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651444140,2022-05-01 22:29:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651444080,2022-05-01 22:28:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651444020,2022-05-01 22:27:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651443960,2022-05-01 22:26:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651443900,2022-05-01 22:25:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651443840,2022-05-01 22:24:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651443780,2022-05-01 22:23:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651443720,2022-05-01 22:22:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651443660,2022-05-01 22:21:00,LTC/USD,99.02,99.02,99.02,99.02,0.0,0.0,2022-05-01
1651443600,2022-05-01 22:20:00,LTC/USD,99.02,99.02,99.02,99.02,10.57912161,1047.5446218221998,2022-05-01
1651443540,2022-05-01 22:19:00,LTC/USD,99.16,99.16,99.16,99.16,0.0,0.0,2022-05-01
1651443480,2022-05-01 22:18:00,LTC/USD,99.16,99.16,99.16,99.16,10.07844,999.3781104,2022-05-01
1651443420,2022-05-01 22:17:00,LTC/USD,99.25,99.25,99.25,99.25,125.0,12406.25,2022-05-01
1651443360,2022-05-01 22:16:00,LTC/USD,98.99,98.99,98.99,98.99,0.0,0.0,2022-05-01
1651443300,2022-05-01 22:15:00,LTC/USD,98.99,98.99,98.99,98.99,0.0,0.0,2022-05-01
1651443240,2022-05-01 22:14:00,LTC/USD,98.99,98.99,98.99,98.99,0.0,0.0,2022-05-01
1651443180,2022-05-01 22:13:00,LTC/USD,98.99,98.99,98.99,98.99,0.0,0.0,2022-05-01
1651443120,2022-05-01 22:12:00,LTC/USD,98.99,98.99,98.99,98.99,0.0,0.0,2022-05-01
1651443060,2022-05-01 22:11:00,LTC/USD,98.99,98.99,98.99,98.99,0.0,0.0,2022-05-01
1651443000,2022-05-01 22:10:00,LTC/USD,98.99,98.99,98.99,98.99,0.0,0.0,2022-05-01
1651442940,2022-05-01 22:09:00,LTC/USD,98.99,98.99,98.99,98.99,174.2811,17252.086089,2022-05-01
1651442880,2022-05-01 22:08:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442820,2022-05-01 22:07:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442760,2022-05-01 22:06:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442700,2022-05-01 22:05:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442640,2022-05-01 22:04:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442580,2022-05-01 22:03:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442520,2022-05-01 22:02:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442460,2022-05-01 22:01:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442400,2022-05-01 22:00:00,LTC/USD,98.72,98.72,98.72,98.72,0.0,0.0,2022-05-01
1651442340,2022-05-01 21:59:00,LTC/USD,98.72,98.72,98.72,98.72,0.4,39.488,2022-05-01
1651442280,2022-05-01 21:58:00,LTC/USD,98.79,98.79,98.79,98.79,0.0,0.0,2022-05-01
1651442220,2022-05-01 21:57:00,LTC/USD,98.79,98.79,98.79,98.79,0.0,0.0,2022-05-01
1651442160,2022-05-01 21:56:00,LTC/USD,98.79,98.79,98.79,98.79,0.0,0.0,2022-05-01
1651442100,2022-05-01 21:55:00,LTC/USD,98.78,98.79,98.78,98.79,3.56540042,352.2259074918,2022-05-01
1651442040,2022-05-01 21:54:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441980,2022-05-01 21:53:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441920,2022-05-01 21:52:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441860,2022-05-01 21:51:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441800,2022-05-01 21:50:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441740,2022-05-01 21:49:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441680,2022-05-01 21:48:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441620,2022-05-01 21:47:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441560,2022-05-01 21:46:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441500,2022-05-01 21:45:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441440,2022-05-01 21:44:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441380,2022-05-01 21:43:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441320,2022-05-01 21:42:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441260,2022-05-01 21:41:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441200,2022-05-01 21:40:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441140,2022-05-01 21:39:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441080,2022-05-01 21:38:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651441020,2022-05-01 21:37:00,LTC/USD,98.42,98.42,98.42,98.42,0.0,0.0,2022-05-01
1651440960,2022-05-01 21:36:00,LTC/USD,98.42,98.42,98.42,98.42,10.70165761,1053.2571419762,2022-05-01
1651440900,2022-05-01 21:35:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440840,2022-05-01 21:34:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440780,2022-05-01 21:33:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440720,2022-05-01 21:32:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440660,2022-05-01 21:31:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440600,2022-05-01 21:30:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440540,2022-05-01 21:29:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440480,2022-05-01 21:28:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440420,2022-05-01 21:27:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440360,2022-05-01 21:26:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440300,2022-05-01 21:25:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440240,2022-05-01 21:24:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440180,2022-05-01 21:23:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440120,2022-05-01 21:22:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440060,2022-05-01 21:21:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651440000,2022-05-01 21:20:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439940,2022-05-01 21:19:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439880,2022-05-01 21:18:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439820,2022-05-01 21:17:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439760,2022-05-01 21:16:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439700,2022-05-01 21:15:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
1651439640,2022-05-01 21:14:00,LTC/USD,98.83,98.83,98.83,98.83,0.0,0.0,2022-05-01
