unix,date,symbol,open,high,low,close,Volume ETH,Volume USD,just_date
1651556880,2022-05-03 05:48:00,ETH/USD,2838.6,2838.63,2838.6,2838.63,0.0345,97.932735,2022-05-03
1651556820,2022-05-03 05:47:00,ETH/USD,2838.88,2839.22,2837.63,2838.6,0.05606119,159.13529393399998,2022-05-03
1651556760,2022-05-03 05:46:00,ETH/USD,2839.67,2839.67,2839.67,2839.67,0.02940482,83.49998520940001,2022-05-03
1651556700,2022-05-03 05:45:00,ETH/USD,2841.82,2841.82,2840.34,2840.34,0.13454428,382.1515002552,2022-05-03
1651556640,2022-05-03 05:44:00,ETH/USD,2841.24,2841.24,2841.24,2841.24,0.03262812,92.70431966879998,2022-05-03
1651556580,2022-05-03 05:43:00,ETH/USD,2841.55,2841.55,2840.21,2841.23,3.25004685,9234.1306116255,2022-05-03
1651556520,2022-05-03 05:42:00,ETH/USD,2843.24,2843.24,2841.87,2841.87,1.92923158,5482.6253502546,2022-05-03
1651556460,2022-05-03 05:41:00,ETH/USD,2843.24,2843.37,2842.6,2842.6,6.380174,18136.2826124,2022-05-03
1651556400,2022-05-03 05:40:00,ETH/USD,2844.71,2844.71,2844.41,2844.41,0.819,2329.57179,2022-05-03
1651556340,2022-05-03 05:39:00,ETH/USD,2843.12,2843.4,2843.12,2843.4,0.04813732,136.873655688,2022-05-03
1651556280,2022-05-03 05:38:00,ETH/USD,2841.61,2843.12,2841.61,2843.12,0.10152187,288.6388590344,2022-05-03
1651556220,2022-05-03 05:37:00,ETH/USD,2841.79,2841.79,2840.62,2840.62,1.09832573,3119.9260351526,2022-05-03
1651556160,2022-05-03 05:36:00,ETH/USD,2841.5,2841.5,2841.5,2841.5,0.0399,113.37585,2022-05-03
1651556100,2022-05-03 05:35:00,ETH/USD,2842.46,2842.46,2842.46,2842.46,0.0147,41.784162,2022-05-03
1651556040,2022-05-03 05:34:00,ETH/USD,2841.26,2841.41,2841.26,2841.41,0.1633,464.002253,2022-05-03
1651555980,2022-05-03 05:33:00,ETH/USD,2840.18,2841.4,2839.58,2841.4,1.1405,3240.6167000000005,2022-05-03
1651555920,2022-05-03 05:32:00,ETH/USD,2840.71,2841.1,2838.92,2838.92,0.10847804,307.9604773168,2022-05-03
1651555860,2022-05-03 05:31:00,ETH/USD,2840.26,2842.06,2840.26,2842.02,8.05746835,22899.486200067,2022-05-03
1651555800,2022-05-03 05:30:00,ETH/USD,2840.46,2840.46,2840.46,2840.46,0.0,0.0,2022-05-03
1651555740,2022-05-03 05:29:00,ETH/USD,2840.46,2840.46,2840.46,2840.46,0.0157,44.595222,2022-05-03
1651555680,2022-05-03 05:28:00,ETH/USD,2839.78,2839.78,2837.85,2838.33,0.18620152,528.5013602616,2022-05-03
1651555620,2022-05-03 05:27:00,ETH/USD,2837.01,2838.76,2837.01,2838.76,13.02122604,36964.135633310405,2022-05-03
1651555560,2022-05-03 05:26:00,ETH/USD,2834.91,2834.91,2834.73,2834.73,3.7592589,10656.483981597,2022-05-03
1651555500,2022-05-03 05:25:00,ETH/USD,2833.67,2834.68,2833.67,2834.68,0.54621978,1548.3582859704,2022-05-03
1651555440,2022-05-03 05:24:00,ETH/USD,2835.85,2835.85,2834.22,2834.22,0.04176481,118.3706597982,2022-05-03
1651555380,2022-05-03 05:23:00,ETH/USD,2835.59,2836.52,2834.68,2835.45,0.48221785,1367.3046027824998,2022-05-03
1651555320,2022-05-03 05:22:00,ETH/USD,2833.82,2834.8,2833.82,2834.8,0.335,949.658,2022-05-03
1651555260,2022-05-03 05:21:00,ETH/USD,2837.4,2837.4,2835.01,2835.01,4.26530582,12092.1846527582,2022-05-03
1651555200,2022-05-03 05:20:00,ETH/USD,2836.77,2837.56,2836.77,2836.85,0.17,482.2645,2022-05-03
1651555140,2022-05-03 05:19:00,ETH/USD,2836.34,2836.77,2836.34,2836.77,0.0657,186.375789,2022-05-03
1651555080,2022-05-03 05:18:00,ETH/USD,2836.07,2836.07,2835.99,2835.99,0.144,408.38256,2022-05-03
1651555020,2022-05-03 05:17:00,ETH/USD,2834.92,2834.92,2834.75,2834.75,4.97060431,14090.4205677725,2022-05-03
1651554960,2022-05-03 05:16:00,ETH/USD,2833.92,2833.92,2833.92,2833.92,0.029468,83.50995456000001,2022-05-03
1651554900,2022-05-03 05:15:00,ETH/USD,2832.64,2834.91,2832.64,2834.85,0.4235679,1200.751461315,2022-05-03
1651554840,2022-05-03 05:14:00,ETH/USD,2833.84,2833.84,2833.84,2833.84,0.0,0.0,2022-05-03
1651554780,2022-05-03 05:13:00,ETH/USD,2833.84,2833.84,2831.1,2833.84,1.10884985,3142.303058924,2022-05-03
1651554720,2022-05-03 05:12:00,ETH/USD,2835.39,2835.39,2831.15,2833.84,13.16389779,37304.3801132136,2022-05-03
1651554660,2022-05-03 05:11:00,ETH/USD,2836.58,2836.58,2836.58,2836.58,0.0177,50.207466,2022-05-03
1651554600,2022-05-03 05:10:00,ETH/USD,2834.97,2836.59,2834.97,2836.27,0.1601653,454.272035431,2022-05-03
1651554540,2022-05-03 05:09:00,ETH/USD,2831.87,2835.33,2831.84,2835.33,2.79504088,7924.8632582904,2022-05-03
1651554480,2022-05-03 05:08:00,ETH/USD,2833.38,2836.05,2833.38,2833.43,34.75901535,98487.2368631505,2022-05-03
1651554420,2022-05-03 05:07:00,ETH/USD,2837.43,2837.43,2831.71,2833.17,62.62537231,177428.32606752272,2022-05-03
1651554360,2022-05-03 05:06:00,ETH/USD,2836.84,2836.84,2836.84,2836.84,0.08450329,239.7223132036,2022-05-03
1651554300,2022-05-03 05:05:00,ETH/USD,2845.66,2845.66,2837.66,2839.16,103.31891587,293338.93318146915,2022-05-03
1651554240,2022-05-03 05:04:00,ETH/USD,2846.29,2846.56,2844.83,2844.83,0.18680988,531.4423509204,2022-05-03
1651554180,2022-05-03 05:03:00,ETH/USD,2847.56,2847.56,2846.55,2846.55,0.10638816,302.839216848,2022-05-03
1651554120,2022-05-03 05:02:00,ETH/USD,2848.56,2849.32,2848.56,2849.32,0.6013,1713.296116,2022-05-03
1651554060,2022-05-03 05:01:00,ETH/USD,2848.56,2848.58,2848.56,2848.58,0.0218,62.099044,2022-05-03
1651554000,2022-05-03 05:00:00,ETH/USD,2849.65,2849.65,2847.9,2847.9,3.71859346,10590.182314734,2022-05-03
1651553940,2022-05-03 04:59:00,ETH/USD,2850.21,2850.21,2848.91,2849.69,1.17787401,3356.5757875569,2022-05-03
1651553880,2022-05-03 04:58:00,ETH/USD,2850.0,2850.0,2850.0,2850.0,0.0,0.0,2022-05-03
1651553820,2022-05-03 04:57:00,ETH/USD,2851.7,2851.7,2850.0,2850.0,0.83261738,2372.959533,2022-05-03
1651553760,2022-05-03 04:56:00,ETH/USD,2853.57,2853.57,2852.41,2852.41,0.07616719,217.2600544279,2022-05-03
