unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651255380,2022-04-29 18:03:00,BTC/USD,38625.67,38660.03,38610.68,38660.03,1.17401482,45387.4481616446,2022-04-29
1651255320,2022-04-29 18:02:00,BTC/USD,38632.88,38673.55,38626.35,38626.35,0.72934312,28171.862623212,2022-04-29
1651255260,2022-04-29 18:01:00,BTC/USD,38569.28,38634.55,38528.59,38634.55,12.77584844,493589.1553476021,2022-04-29
1651255200,2022-04-29 18:00:00,BTC/USD,38642.51,38642.51,38572.97,38572.97,0.06254,2412.3535438,2022-04-29
1651255140,2022-04-29 17:59:00,BTC/USD,38634.9,38652.59,38628.52,38650.63,0.03996831,1544.8003615353,2022-04-29
1651255080,2022-04-29 17:58:00,BTC/USD,38637.42,38649.06,38630.92,38646.53,0.58312022,22535.5730758366,2022-04-29
1651255020,2022-04-29 17:57:00,BTC/USD,38649.39,38649.39,38608.92,38618.77,5.13277225,198221.3509851325,2022-04-29
1651254960,2022-04-29 17:56:00,BTC/USD,38659.34,38659.34,38619.61,38642.92,4.60827418,178077.1704758056,2022-04-29
1651254900,2022-04-29 17:55:00,BTC/USD,38650.26,38666.83,38626.09,38639.54,0.21233612,8204.5700021848,2022-04-29
1651254840,2022-04-29 17:54:00,BTC/USD,38652.73,38675.12,38645.47,38672.74,0.01941546,750.8490365603999,2022-04-29
1651254780,2022-04-29 17:53:00,BTC/USD,38671.76,38690.61,38641.38,38655.5,0.39770249,15373.388602195,2022-04-29
1651254720,2022-04-29 17:52:00,BTC/USD,38672.96,38733.76,38657.91,38670.06,0.42356836,16379.413895301595,2022-04-29
1651254660,2022-04-29 17:51:00,BTC/USD,38571.28,38670.86,38554.27,38670.86,1.40872349,54476.5488605014,2022-04-29
1651254600,2022-04-29 17:50:00,BTC/USD,38559.28,38607.88,38557.58,38593.17,0.22850062,8818.5632727654,2022-04-29
1651254540,2022-04-29 17:49:00,BTC/USD,38497.82,38584.32,38497.82,38559.28,0.2571776,9916.583088128,2022-04-29
1651254480,2022-04-29 17:48:00,BTC/USD,38500.0,38520.1,38445.33,38501.91,11.1187481,428093.038658871,2022-04-29
1651254420,2022-04-29 17:47:00,BTC/USD,38590.05,38610.21,38520.02,38556.2,3.36559048,129764.379664976,2022-04-29
1651254360,2022-04-29 17:46:00,BTC/USD,38623.93,38631.67,38584.78,38585.45,5.16942825,199464.7152689625,2022-04-29
1651254300,2022-04-29 17:45:00,BTC/USD,38623.37,38641.82,38614.02,38625.03,0.1841302,7112.034498906,2022-04-29
1651254240,2022-04-29 17:44:00,BTC/USD,38618.2,38643.43,38601.57,38619.25,0.20172677,7790.5365623225,2022-04-29
1651254180,2022-04-29 17:43:00,BTC/USD,38637.12,38647.5,38614.89,38643.4,0.515863,19934.7002542,2022-04-29
1651254120,2022-04-29 17:42:00,BTC/USD,38621.6,38653.64,38621.6,38653.64,0.1463331,5656.306967484,2022-04-29
1651254060,2022-04-29 17:41:00,BTC/USD,38594.15,38630.01,38594.15,38630.01,0.10104829,3903.4964531829,2022-04-29
1651254000,2022-04-29 17:40:00,BTC/USD,38635.46,38641.54,38600.0,38602.17,0.19356855,7472.1660737535,2022-04-29
1651253940,2022-04-29 17:39:00,BTC/USD,38641.16,38659.73,38638.37,38659.73,0.23826699,9211.3375013127,2022-04-29
