unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,just_date
1651376040,2022-05-01 03:34:00,BCH/USD,278.89,278.89,278.89,278.89,0.0,0.0,2022-05-01
1651375980,2022-05-01 03:33:00,BCH/USD,278.89,278.89,278.89,278.89,31.5,8785.035,2022-05-01
1651375920,2022-05-01 03:32:00,BCH/USD,278.56,278.56,278.56,278.56,0.0,0.0,2022-05-01
1651375860,2022-05-01 03:31:00,BCH/USD,278.56,278.56,278.56,278.56,15.73,4381.7488,2022-05-01
1651375800,2022-05-01 03:30:00,BCH/USD,278.86,278.86,278.72,278.72,0.556,154.96832000000003,2022-05-01
1651375740,2022-05-01 03:29:00,BCH/USD,278.79,278.79,278.79,278.79,0.0,0.0,2022-05-01
1651375680,2022-05-01 03:28:00,BCH/USD,278.79,278.79,278.79,278.79,0.0,0.0,2022-05-01
1651375620,2022-05-01 03:27:00,BCH/USD,278.86,278.86,278.79,278.79,0.36,100.3644,2022-05-01
1651375560,2022-05-01 03:26:00,BCH/USD,278.39,278.39,278.39,278.39,0.0,0.0,2022-05-01
1651375500,2022-05-01 03:25:00,BCH/USD,278.39,278.39,278.39,278.39,0.0,0.0,2022-05-01
1651375440,2022-05-01 03:24:00,BCH/USD,278.39,278.39,278.39,278.39,0.0,0.0,2022-05-01
1651375380,2022-05-01 03:23:00,BCH/USD,278.46,278.46,278.39,278.39,0.536,149.21704,2022-05-01
1651375320,2022-05-01 03:22:00,BCH/USD,278.5,278.5,278.5,278.5,0.343,95.5255,2022-05-01
1651375260,2022-05-01 03:21:00,BCH/USD,278.03,278.03,278.03,278.03,0.0,0.0,2022-05-01
1651375200,2022-05-01 03:20:00,BCH/USD,278.03,278.03,278.03,278.03,1.79999,500.4512197,2022-05-01
1651375140,2022-05-01 03:19:00,BCH/USD,277.81,277.81,277.81,277.81,0.0,0.0,2022-05-01
1651375080,2022-05-01 03:18:00,BCH/USD,277.88,277.88,277.81,277.81,0.826,229.47106,2022-05-01
1651375020,2022-05-01 03:17:00,BCH/USD,277.92,277.92,277.92,277.92,0.0,0.0,2022-05-01
1651374960,2022-05-01 03:16:00,BCH/USD,277.92,277.92,277.92,277.92,0.0,0.0,2022-05-01
1651374900,2022-05-01 03:15:00,BCH/USD,278.07,278.07,277.92,277.92,0.588,163.41696,2022-05-01
1651374840,2022-05-01 03:14:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374780,2022-05-01 03:13:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374720,2022-05-01 03:12:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374660,2022-05-01 03:11:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374600,2022-05-01 03:10:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374540,2022-05-01 03:09:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374480,2022-05-01 03:08:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
1651374420,2022-05-01 03:07:00,BCH/USD,276.85,276.85,276.85,276.85,0.0,0.0,2022-05-01
